RSS;BRA;BAG;BOS
0,792113024;0,730533795;1,671108958;1,1369987
0,872832693;1,068034677;1,52459856;1,764712669
0,950278072;0,699135454;1,6301717;1,084177024
0,960405017;0,833555228;1,563425223;1,72811105
0,784223778;0,859308235;1,64867981;1,023779335
0,857108299;0,929108059;1,508861436;1,586796234
0,90827216;0,674609553;1,472750461;1,11883409
0,854094301;0,842979342;1,562726698;1,607706895
0,671494684;0,753237569;1,864468161;1,013115063
0,697705636;1,02309457;1,614767645;0,971329869
0,812188324;0,805012267;1,653812558;0,979948386
0,741932957;0,790397732;1,564825973;0,735793514
0,737048469;0,817218074;1,717588373;1,024901521
0,871684803;0,854121749;1,808378144;0,901465609
0,705788624;0,858756678;1,635721545;1,00441632
0,73068512;0,875497039;1,687968187;0,944209884
0,768083864;0,824889151;1,735833063;1,061517871
0,752668592;0,726012044;1,690573144;0,923578787
0,729863537;0,713807231;1,523649039;0,981492105
0,748701607;0,950770804;1,675792871;0,898162751
0,77667893;0,923901096;1,972811671;0,990962506
0,784363199;0,789452662;1,864659062;0,955035564
0,920448802;0,844361493;1,591746139;1,007014744
0,686798403;0,817275127;1,64678968;0,826606172
0,763439244;0,871776006;1,730343112;0,999591105
0,720179971;0,721979408;1,741647548;0,986252559
0,736786889;0,78179931;1,610934576;1,033970936
0,678723323;0,781668189;1,718026663;0,899511338
0,683843273;0,794531601;1,844204926;1,053822537
0,810889193;0,791622227;1,55170939;0,926737065
0,682541689;0,735168714;1,814997268;0,909327308
0,771396832;0,741162771;1,639094323;0,926039453
0,842716099;0,838325332;1,766953696;1,019108225
0,792879226;0,817849515;1,675004415;0,903009699
0,914198062;0,982635085;1,70634145;1,055055715
0,820267627;0,862245917;1,888530845;0,936936728
0,863501335;0,852863737;1,628084153;0,983234481
0,917299115;0,643069425;1,785484194;0,960353326
0,749990194;0,769283345;1,589096562;1,098663732
0,693189018;0,78128791;1,677583587;0,854991661
0,782789337;0,863642682;1,681378297;1,096165353
0,806927714;0,714489301;1,672503125;0,841674469
0,694416469;0,848668524;1,74471503;0,9658159
0,721920428;0,805777807;1,733102333;1,679294913
0,828853513;0,900277197;1,552573678;1,703198301
0,784008523;0,751019064;1,52431472;1,126836639
0,827917776;0,943934967;1,510117963;1,674059501
0,737048469;0,817218074;1,717588373;1,024901521
0,847227104;0,788845393;1,674967388;0,678309931
0,79811204;0,874902243;1,515371298;1,620961976
0,795482481;0,876541739;1,560011909;0,984557252
0,773173008;0,991167809;1,585516105;1,506511982
0,773660758;0,657487728;1,506107756;1,16741585
0,91787044;0,699409312;1,499881186;1,726861212
0,768291548;0,785465811;1,597911234;0,951556136
0,945591729;0,748816076;1,632540402;1,51017218
0,802372107;0,786540309;1,732349636;1,130185474
0,781407345;1,397359232;1,52044771;1,545049183
0,71361824;0,771627601;1,655405833;1,268622229
0,848385551;0,740362263;1,64449428;1,653792521
0,691194275;0,869245499;1,502663028;1,057963557
0,801780058;0,800085706;1,452926181;1,758597592
0,745883908;0,801111184;1,490735816;1,029641015
0,829227089;0,923822636;1,600878057;1,590488267
0,855821669;0,697164751;1,570686153;1,089032624
0,786539142;0,79791551;1,722454715;1,716041723
0,751036219;0,899805523;1,595332567;0,982871039
0,773223735;0,777510432;1,613672371;1,627702244
0,893734305;0,833643635;1,755631232;1,081044691
0,810672917;0,816775646;1,58587883;1,603872203
0,806669227;0,759951759;1,683000732;1,149980617
0,870051212;0,823981222;1,584174697;1,559235254
0,818983508;0,76991585;1,667065409;1,101847621
0,866538807;0,704614993;1,539782487;1,714509177
0,719920437;0,880081875;1,683356602;1,110467343
1,063361934;0,919975522;1,595606038;1,602306298
0,801282878;0,765267888;1,504531063;1,053221219
0,782585742;0,842623706;1,626163202;1,60724212
0,74267876;1,104794627;1,751848734;1,011318754
0,858238035;0,821420725;1,54998624;1,0420774
0,917009989;0,798751055;1,585861405;0,831622342
0,877522035;0,773333314;1,750572298;0,984755849
0,871684803;0,854121749;1,808378144;0,901465609
0,847227104;0,788845393;1,674967388;0,678309931
0,832005041;0,798610035;1,723115289;0,979534023
0,798503132;0,781269281;1,644258545;0,905931072
0,78338267;0,823242271;1,652137562;1,023026503
0,831274102;0,771675585;1,708216487;0,901189683
0,862474749;0,775450103;1,555329347;0,883594409
0,827463639;0,787078234;1,581860643;0,904049129
0,996004984;0,873029018;1,755796091;0,990224047
0,772871665;0,783033401;1,772240096;0,938845036
0,856622432;0,821290967;1,662387255;1,076290338
0,768077998;0,886667597;1,627489333;0,928858066
0,883170103;0,82500369;1,664006368;0,982122557
0,74387151;0,763922825;1,51582808;0,884065911
0,830345039;0,829602453;1,637003071;0,907018382
0,749398718;0,77394961;1,620601377;0,873390673
0,821859913;0,79778123;1,695633737;1,020309042
0,929363056;0,841953178;1,643380227;0,806278014
0,81874996;0,892346964;1,819214567;0,980196455
0,878724033;0,830358559;1,664869825;0,944860094
0,813641915;0,77861527;1,695910881;0,945060091
0,977248144;0,906957968;1,817146801;0,947568832
0,896864252;0,879932354;1,611906814;0,945135232
0,769984327;0,78362088;1,799797871;0,893240167
0,93118766;0,731328129;1,580643021;1,007198861
0,933684282;0,849182756;1,670593756;0,897825418
0,898783184;0,772720262;1,65067775;1,07889168
0,696598383;0,757243932;1,693232303;0,863490597
1,145185693;0,881900959;1,670658864;0,897633253
0,826062555;0,842835857;1,534115306;0,903822578
0,830306535;0,878655114;1,696010729;1,037024956
0,65528586;0,879355051;1,545417285;1,594427057
0,855355456;0,966585488;1,525677532;1,759456984
0,826973133;0,81802674;1,433268746;0,973498522
0,845958726;0,957323956;1,621272922;1,752492706
0,705788624;0,858756678;1,635721545;1,00441632
0,79811204;0,874902243;1,515371298;1,620961976
0,832005041;0,798610035;1,723115289;0,979534023
0,724732928;0,771574418;1,508566457;0,752606939
0,749054248;0,867548909;1,584242054;1,646400407
0,797569012;0,742901239;1,506082803;1,084036008
0,803887977;0,781729141;1,452259966;1,63829449
0,799500474;0,815598769;1,561182077;1,033106376
0,895807301;0,924049051;1,530152965;1,709412355
0,791022804;0,798446026;1,614537824;1,105102594
0,781860096;0,797252801;1,5484538;1,604788053
0,798741917;0,749035905;1,50665649;1,14447821
0,722814619;0,804940994;1,552373489;1,717522608
0,722581135;0,74032138;1,483630341;1,087273896
0,706848423;0,751908873;1,500648354;1,612048996
0,893379785;1,142132827;1,500366994;1,033289851
1,157803069;0,884756988;1,593540887;1,687415359
0,817810346;0,762317741;1,466529031;1,130928495
0,739442546;0,74438856;1,61425684;1,595045434
0,748409655;0,710852021;1,529212546;1,074671232
0,778164035;0,831250785;1,498897969;1,762334109
0,725976509;0,784505496;1,662900238;1,036367575
0,76572878;0,922872735;1,620033991;1,799198332
0,685196104;0,77507985;1,643596216;1,052393924
0,818794531;0,891829512;1,616679854;1,569477479
0,763177047;0,720786065;1,566166442;1,116912763
0,755242509;0,851715494;1,594217527;1,699543275
0,656535463;0,874083424;1,712487304;1,045083942
0,997454411;1,224097457;1,561282005;1,596795442
0,765766344;0,729578908;1,461058902;1,094986226
1,069519572;1,065492372;1,646095631;1,625506943
0,772083697;0,763729207;1,683479326;1,010967969
1,010682433;0,812927861;1,45000895;0,975747015
0,757126032;0,77787791;1,639673328;0,909383361
0,869021867;0,887911819;1,601444816;0,999203399
0,73068512;0,875497039;1,687968187;0,944209884
0,795482481;0,876541739;1,560011909;0,984557252
0,798503132;0,781269281;1,644258545;0,905931072
0,724732928;0,771574418;1,508566457;0,752606939
0,767139422;0,852683149;1,617184467;0,914859789
0,795942792;0,75346806;1,704567691;0,867487043
0,803991951;0,701315662;1,438117107;1,004085117
0,855106134;0,872057545;1,769963201;0,903632741
