BAG;RSS;BOS;BRA
0,779309148;0,5106197;0,779309148;0,377194365
0,715066237;0,554227081;0,715066237;0,675474666
0,7749446;0,556090459;0,7749446;0,505693911
0,742708349;0,567766979;0,742708349;0,472573566
0,797355412;0,438937478;0,797355412;0,547666504
0,744588927;0,526913796;0,744588927;0,570310013
0,704557932;0,48608104;0,704557932;0,326084147
0,76930814;0,543742273;0,76930814;0,52538487
0,827666629;0,454947449;0,827666629;0,599368361
0,735944495;0,462085605;0,735944495;0,651446874
0,771216981;0,518722372;0,771216981;0,495344273
0,761216632;0,434137715;0,761216632;0,560305254
0,785485671;0,493990443;0,785485671;0,556789806
0,824857106;0,547192463;0,824857106;0,515201154
0,703074826;0,475583379;0,703074826;0,594252025
0,757790756;0,44834086;0,757790756;0,576655029
0,747837438;0,441024577;0,747837438;0,525146956
0,777898855;0,376545902;0,777898855;0,414558303
0,736495861;0,465903617;0,736495861;0,472123898
0,800280118;0,502364845;0,800280118;0,605928058
0,858187506;0,536792827;0,858187506;0,596166936
0,800726303;0,46442208;0,800726303;0,406923721
0,772768007;0,562389378;0,772768007;0,534093116
0,758477778;0,477163102;0,758477778;0,502462062
0,791776136;0,480502946;0,791776136;0,527188692
0,793707333;0,484390951;0,793707333;0,515991215
0,747157139;0,503926303;0,747157139;0,533088791
0,772580442;0,359020914;0,772580442;0,532928352
0,811277676;0,418782205;0,811277676;0,502043734
0,773579117;0,52329673;0,773579117;0,385561892
0,811417183;0,478679123;0,811417183;0,546196736
0,783701679;0,504768701;0,783701679;0,495983057
0,809484137;0,519883619;0,809484137;0,523301925
0,765893819;0,508895238;0,765893819;0,536656216
0,791743463;0,576899612;0,791743463;0,641456177
0,799866253;0,428416217;0,799866253;0,47156918
0,743929383;0,52598933;0,743929383;0,551549331
0,776595175;0,555094369;0,776595175;0,474446582
0,783083922;0,499672938;0,783083922;0,467243966
0,786981159;0,447896787;0,786981159;0,520709213
0,779384658;0,477282007;0,779384658;0,561670424
0,747799779;0,512532537;0,747799779;0,361965015
0,78543679;0,501345743;0,78543679;0,563003441
0,823594124;0,505225582;0,823594124;0,515119378
0,762258445;0,600939326;0,762258445;0,555590036
0,769730155;0,527370283;0,769730155;0,486816812
0,757381878;0,549518168;0,757381878;0,569970748
0,785485671;0,493990443;0,785485671;0,556789806
0,77725218;0,593087101;0,77725218;0,4832094
0,684403106;0,606948505;0,684403106;0,563474432
0,741836487;0,595020427;0,741836487;0,567839514
0,735057156;0,527742373;0,735057156;0,596179416
0,743241476;0,468952606;0,743241476;0,410424976
0,738408602;0,575292818;0,738408602;0,463899271
0,770188887;0,552040352;0,770188887;0,516874184
0,803561751;0,57850022;0,803561751;0,523090258
0,797204992;0,532180874;0,797204992;0,453451128
0,740222192;0,525851516;0,740222192;0,6303846
0,754045008;0,535631413;0,754045008;0,528851267
0,766859764;0,552307096;0,766859764;0,490938605
0,754539167;0,515372856;0,754539167;0,522131147
0,71338901;0,529828112;0,71338901;0,536208703
0,737823217;0,491928432;0,737823217;0,537746311
0,76349946;0,570559933;0,76349946;0,490547477
0,774213625;0,57956115;0,774213625;0,38720483
0,788804943;0,597691117;0,788804943;0,500278318
0,779181271;0,549992248;0,779181271;0,507353427
0,770139113;0,516022566;0,770139113;0,423275158
0,764733575;0,608123057;0,764733575;0,558477602
0,809411737;0,559009081;0,809411737;0,566073224
0,786723446;0,433112628;0,786723446;0,434727529
0,73692999;0,554742301;0,73692999;0,563092991
0,788129972;0,513342462;0,788129972;0,536859755
0,767019975;0,578254353;0,767019975;0,421011229
0,813036474;0,443827981;0,813036474;0,526557244
0,774776156;0,637328274;0,774776156;0,500464401
0,767998394;0,517050935;0,767998394;0,386716912
0,809485458;0,565163224;0,809485458;0,546256641
0,796034452;0,446623598;0,796034452;0,691482431
0,706322546;0,590019055;0,706322546;0,546178454
0,760248424;0,556721817;0,760248424;0,451847158
0,756367874;0,545798683;0,756367874;0,515925911
0,824857106;0,547192463;0,824857106;0,515201154
0,77725218;0,593087101;0,77725218;0,4832094
0,733757718;0,563656921;0,733757718;0,529866656
0,746616667;0,547711544;0,746616667;0,496412227
0,71726239;0,484271481;0,71726239;0,427244147
0,764301658;0,453301998;0,764301658;0,333587747
0,754874921;0,556212118;0,754874921;0,424677844
0,793726653;0,586183923;0,793726653;0,523377872
0,836104653;0,605749583;0,836104653;0,605425223
0,816628917;0,514200165;0,816628917;0,367943886
0,764179572;0,54444035;0,764179572;0,437727615
0,737949691;0,579493595;0,737949691;0,581347114
