"Regressor_A","Regressor_B","Dataset","BAGG","BOOS","CBAS","RASS"
"Regressor_11","Regressor_18","concrete",0.09,0.16,0.3,0.36
"Regressor_11","Regressor_19","concrete",0.1,0.24,0.17,0.35
"Regressor_11","Regressor_2","concrete",0.11,0.15,0.21,0.13
"Regressor_11","Regressor_20","concrete",0.07,0.18,0.12,0.13
"Regressor_11","Regressor_21","concrete",0.05,0.16,0.36,0.47
"Regressor_11","Regressor_22","concrete",0.12,0.17,0.16,0.43
"Regressor_11","Regressor_23","concrete",0.12,0.21,0.19,0.52
"Regressor_11","Regressor_24","concrete",0.09,0.17,0.11,0.43
"Regressor_11","Regressor_25","concrete",0.04,0.09,0.23,0.16
"Regressor_11","Regressor_26","concrete",0.11,0.16,0.19,0.1
"Regressor_11","Regressor_27","concrete",0.08,0.2,0.15,0.45
"Regressor_11","Regressor_28","concrete",0.04,0.13,0.09,0.36
"Regressor_11","Regressor_29","concrete",0.07,0.16,0.15,0.13
"Regressor_11","Regressor_3","concrete",0.07,0.17,0.22,0.49
"Regressor_11","Regressor_30","concrete",0.08,0.16,0.23,0.41
"Regressor_11","Regressor_31","concrete",0.03,0.2,0.36,0.48
"Regressor_11","Regressor_32","concrete",0.09,0.15,0.15,0.48
"Regressor_11","Regressor_33","concrete",0.11,0.22,0.35,0.45
"Regressor_11","Regressor_34","concrete",0.07,0.14,0.13,0.43
"Regressor_11","Regressor_35","concrete",0.09,0.19,0.27,0.12
"Regressor_11","Regressor_36","concrete",0.02,0.12,0.22,0.36
"Regressor_11","Regressor_4","concrete",0.1,0.13,0.16,0.36
"Regressor_11","Regressor_5","concrete",0.11,0.15,0.16,0.41
"Regressor_11","Regressor_6","concrete",0.07,0.19,0.14,0.42
"Regressor_11","Regressor_7","concrete",0.11,0.14,0.19,0.45
"Regressor_11","Regressor_8","concrete",0.12,0.17,0.14,0.49
"Regressor_11","Regressor_9","concrete",0.08,0.21,0.27,0.38
"Regressor_12","Regressor_1","concrete",0.07,0.05,0.1,0.19
"Regressor_12","Regressor_10","concrete",0.09,0.12,0.13,0.33
"Regressor_12","Regressor_11","concrete",0.07,0.1,0.28,0.31
"Regressor_12","Regressor_13","concrete",0.09,0.16,0.42,0.14
"Regressor_12","Regressor_14","concrete",0.09,0.09,0.25,0.21
"Regressor_12","Regressor_15","concrete",0.11,0.17,0.29,0.28
"Regressor_12","Regressor_16","concrete",0.06,0.04,0.28,0.13
"Regressor_12","Regressor_17","concrete",0.14,0.12,0.29,0.33
"Regressor_12","Regressor_18","concrete",0.08,0.05,0.2,0.21
"Regressor_12","Regressor_19","concrete",0.11,0.21,0.26,0.16
"Regressor_12","Regressor_2","concrete",0.12,0.1,0.1,0.35
"Regressor_12","Regressor_20","concrete",0.06,0.1,0.26,0.29
"Regressor_12","Regressor_21","concrete",0.1,0.14,0.27,0.2
"Regressor_12","Regressor_22","concrete",0.14,0.07,0.17,0.22
"Regressor_12","Regressor_23","concrete",0.13,0.13,0.4,0.2
"Regressor_12","Regressor_24","concrete",0.08,0.05,0.16,0.21
"Regressor_12","Regressor_25","concrete",0.06,0.13,0.36,0.27
"Regressor_12","Regressor_26","concrete",0.09,0.08,0.3,0.32
"Regressor_12","Regressor_27","concrete",0.08,0.13,0.28,0.2
"Regressor_12","Regressor_28","concrete",0.1,0.07,0.24,0.15
"Regressor_12","Regressor_29","concrete",0.11,0.13,0.25,0.3
"Regressor_12","Regressor_3","concrete",0.06,0.11,0.29,0.19
"Regressor_12","Regressor_30","concrete",0.08,0.13,0.05,0.16
"Regressor_12","Regressor_31","concrete",0.07,0.14,0.25,0.16
"Regressor_12","Regressor_32","concrete",0.09,0.06,0.28,0.13
"Regressor_12","Regressor_33","concrete",0.14,0.13,0.16,0.15
"Regressor_12","Regressor_34","concrete",0.09,0.09,0.28,0.19
"Regressor_12","Regressor_35","concrete",0.09,0.12,0.25,0.34
"Regressor_12","Regressor_36","concrete",0.07,0.06,0.07,0.21
"Regressor_12","Regressor_4","concrete",0.09,0.1,0.22,0.17
"Regressor_12","Regressor_5","concrete",0.12,0.14,0.29,0.18
"Regressor_12","Regressor_6","concrete",0.07,0.09,0.2,0.17
"Regressor_12","Regressor_7","concrete",0.12,0.11,0.26,0.16
"Regressor_12","Regressor_8","concrete",0.1,0.08,0.28,0.21
"Regressor_12","Regressor_9","concrete",0.12,0.09,0.24,0.21
"Regressor_13","Regressor_1","concrete",0.06,0.12,0.23,0.19
"Regressor_13","Regressor_10","concrete",0.09,0.18,0.24,0.31
"Regressor_13","Regressor_11","concrete",0.11,0.17,0.35,0.32
"Regressor_13","Regressor_12","concrete",0.1,0.19,0.42,0.19
"Regressor_13","Regressor_14","concrete",0.11,0.15,0.37,0.17
"Regressor_13","Regressor_15","concrete",0.07,0.17,0.46,0.25
"Regressor_13","Regressor_16","concrete",0.07,0.16,0.41,0.14
"Regressor_13","Regressor_17","concrete",0.09,0.16,0.36,0.3
"Regressor_13","Regressor_18","concrete",0.1,0.19,0.24,0.18
"Regressor_13","Regressor_19","concrete",0.07,0.23,0.39,0.14
"Regressor_13","Regressor_2","concrete",0.12,0.17,0.2,0.33
"Regressor_13","Regressor_20","concrete",0.08,0.17,0.39,0.25
"Regressor_13","Regressor_21","concrete",0.11,0.2,0.45,0.16
"Regressor_13","Regressor_22","concrete",0.03,0.18,0.32,0.2
"Regressor_13","Regressor_23","concrete",0.08,0.27,0.43,0.18
"Regressor_13","Regressor_24","concrete",0.1,0.21,0.36,0.13
"Regressor_13","Regressor_25","concrete",0.1,0.14,0.37,0.26
"Regressor_13","Regressor_26","concrete",0.08,0.17,0.4,0.3
"Regressor_13","Regressor_27","concrete",0.12,0.19,0.38,0.16
"Regressor_13","Regressor_28","concrete",0.08,0.14,0.39,0.2
"Regressor_13","Regressor_29","concrete",0.1,0.16,0.32,0.27
