"Regressor_A","Regressor_B","Dataset","BAGG","BOOS","CBAS","RASS"
"Regressor_1","Regressor_10","Auto_mpg",0.0540540540540541,0.0,0.108108108108108,0.0540540540540541
"Regressor_1","Regressor_11","Auto_mpg",0.0810810810810811,0.108108108108108,0.0540540540540541,0.135135135135135
"Regressor_1","Regressor_12","Auto_mpg",0.027027027027027,0.0810810810810811,0.0540540540540541,0.216216216216216
"Regressor_1","Regressor_13","Auto_mpg",0.0540540540540541,0.108108108108108,0.135135135135135,0.0810810810810811
"Regressor_1","Regressor_14","Auto_mpg",0.0810810810810811,0.027027027027027,0.108108108108108,0.0810810810810811
"Regressor_1","Regressor_15","Auto_mpg",0.0540540540540541,0.108108108108108,0.108108108108108,0.0810810810810811
"Regressor_1","Regressor_16","Auto_mpg",0.0540540540540541,0.0810810810810811,0.0810810810810811,0.027027027027027
"Regressor_1","Regressor_17","Auto_mpg",0.0540540540540541,0.0540540540540541,0.135135135135135,0.0810810810810811
"Regressor_1","Regressor_18","Auto_mpg",0.027027027027027,0.0540540540540541,0.189189189189189,0.0540540540540541
"Regressor_1","Regressor_19","Auto_mpg",0.027027027027027,0.135135135135135,0.297297297297297,0.108108108108108
"Regressor_1","Regressor_2","Auto_mpg",0.0810810810810811,0.0540540540540541,0.0540540540540541,0.0
"Regressor_1","Regressor_20","Auto_mpg",0.0,0.0540540540540541,0.135135135135135,0.0540540540540541
"Regressor_1","Regressor_21","Auto_mpg",0.027027027027027,0.108108108108108,0.108108108108108,0.0810810810810811
"Regressor_1","Regressor_22","Auto_mpg",0.0540540540540541,0.0810810810810811,0.108108108108108,0.0810810810810811
"Regressor_1","Regressor_23","Auto_mpg",0.0540540540540541,0.0810810810810811,0.0810810810810811,0.0540540540540541
"Regressor_1","Regressor_24","Auto_mpg",0.0,0.0,0.0540540540540541,0.0810810810810811
"Regressor_1","Regressor_25","Auto_mpg",0.0540540540540541,0.0540540540540541,0.108108108108108,0.027027027027027
"Regressor_1","Regressor_26","Auto_mpg",0.0,0.027027027027027,0.0810810810810811,0.0540540540540541
"Regressor_1","Regressor_27","Auto_mpg",0.027027027027027,0.0540540540540541,0.0810810810810811,0.0540540540540541
"Regressor_1","Regressor_28","Auto_mpg",0.0540540540540541,0.027027027027027,0.0810810810810811,0.108108108108108
"Regressor_1","Regressor_29","Auto_mpg",0.027027027027027,0.0540540540540541,0.108108108108108,0.027027027027027
"Regressor_1","Regressor_3","Auto_mpg",0.027027027027027,0.0540540540540541,0.108108108108108,0.0
"Regressor_1","Regressor_30","Auto_mpg",0.027027027027027,0.027027027027027,0.162162162162162,0.0540540540540541
"Regressor_1","Regressor_31","Auto_mpg",0.027027027027027,0.108108108108108,0.0810810810810811,0.0540540540540541
"Regressor_1","Regressor_32","Auto_mpg",0.0810810810810811,0.027027027027027,0.0540540540540541,0.108108108108108
"Regressor_1","Regressor_33","Auto_mpg",0.027027027027027,0.0540540540540541,0.0810810810810811,0.0540540540540541
"Regressor_1","Regressor_34","Auto_mpg",0.0,0.027027027027027,0.0,0.108108108108108
"Regressor_1","Regressor_35","Auto_mpg",0.027027027027027,0.108108108108108,0.243243243243243,0.0810810810810811
"Regressor_1","Regressor_36","Auto_mpg",0.027027027027027,0.0540540540540541,0.0540540540540541,0.027027027027027
"Regressor_1","Regressor_4","Auto_mpg",0.027027027027027,0.027027027027027,0.0810810810810811,0.135135135135135
"Regressor_1","Regressor_5","Auto_mpg",0.0,0.0810810810810811,0.216216216216216,0.108108108108108
"Regressor_1","Regressor_6","Auto_mpg",0.0540540540540541,0.027027027027027,0.0540540540540541,0.027027027027027
"Regressor_1","Regressor_7","Auto_mpg",0.0540540540540541,0.0810810810810811,0.0810810810810811,0.0810810810810811
"Regressor_1","Regressor_8","Auto_mpg",0.027027027027027,0.0,0.189189189189189,0.189189189189189
